Text,Humor
"২০২০ এর নির্বাচন থেকে নিজেকে বাতিল করেও জোবাইডেনের কথা ছিল- ""আমি পালাচ্ছি না""",0
"খোলস ছাড়া কচ্ছপ কে কি বলে বলতো ? মরা কচ্ছপ",1
"নতুন ময়নাতদন্ত অনুযায়ী ,পাসকো পুলিশ মেক্সিকান অভিবাসীকে পেছন থেকে গুলি করেছে",0
"আমার জীবন কেমন চলছে? বলা যাক, অনেক বার 'বলা যাক' দিয়ে শুরু করছি বাক্য",1
"আমাদের পরিবারিক গাছকে ক্যাকটাস ও বলা চলে, কারণ যে  পরিমাণ কাটার মত জবান আমাদের",1
ডেটিং টিপ: আপনার ডেটকে অবাক করুন! একদিন আগে এসে উপস্থিত হোন।,1
"আমি আমার গেলফ্রেন্ডকে 'মেলডি' ডাকি, কারণ সে সবসময় চিৎকার করে .",1
"৫  বছরের সম্পর্ক শেষ করে আসলাম তবে আমি মজাতেই  আছি , কারণ সেটা আমার সম্পর্ক ছিল না",1
"অস্কার মনোনয়ন কেমন দেখাবে, সেটা এখানে দেখুন।",0
আমি যদি জীবনে দুটি জিনিস শিখেথাকি তবে তা হ'ল আমি গণনায় ভয়ানক।,1
দাভোস : প্যারিস চুক্তির পর জলবায়ু কার্যকলাপের জন্য পরবর্তী পদক্ষেপ নিয়ে নেতারা পরামর্শ করছে,0
মজার তথ্য: ২০২০ সাল নাগাদ মার্কিন টিভি সিরিয়ালের সব অভিনেতা অস্ট্রেলিয়ান হয়ে যাবে।,1
"আমি তোমাকে একটি রাসায়নিক জোক বলতে চাইতাম, কিন্তু আমি জানি আমি কোনো প্রতিক্রিয়া পাবো না।",1
"আপনি কি জানেন, ডায়রিয়া একটি জেনেটিক রোগ? সেটি আপনার জিন্সে দৌড়ে।",1
ওবামা পোপ ফ্রান্সিসকে হোয়াইট হাউজে স্বাগত জানাচ্ছেন,0
পুলিশের গাড়ির পেছনে সবসময় কালো কী থাকে? সিট।,1
"ব্রিটনি স্পিয়ার্স এমন  একটি মা, যে তার ছেলেমেয়েদের লজ্জা দিতে ভালোবাসে",0
বই নামে একটি কভার ব্যান্ড শুরু কর যাতে কেউ বিচার করতে না পারে আমাদের।,1
"জীবনে দুটি জিনিস শিখেছি, তাতে একটাই হলো আমি গণনা করতে অনেক খারাপ",1
কানাডিয়ান সেনা প্রশিক্ষণে ৬ সপ্তাহ ধরে বেলেচের ফেলা শিখে,1
ক্যাটি পেরি বাচ্চাদের উদ্বোধনী সংগীতের জন্য আমেরিকান পতাকা পোশাক পরে,0
"একজন ছাত্র হিসাবে সবচেয়ে সান্ত্বনাদায়ক শব্দ হল ""আমি ও শুরু করিনি""",1
"কী সাদা, 12 ইঞ্চি লম্বা এবং ফ্লুরোসেন্ট লাইট বাল্ব নয়? কিছুই না।",1
"আপনি যদি কোনও কিছু ভালবাসেন তবে তাকে মুক্ত করুন, যদি না এটি সিংহ হয়। এরকম কখনো করবেন না।",1
"আমি সত্যিই বিরক্ত হয়ে গেছি, আমি আমার কুকুরের জন্মদিন কেক প্রতি ৫২ দিনে তৈরি করতে করতে ",0
"কানিয়ে ওয়েস্ট এই সপ্তাহে ২১টি পাবলো পপ-আপ শপ খুলছে""",0
"যদি আপনি সিন্ড্রেলা উল্টাভাবে দেখেন, তা হলো একটি মহিলা যাকে তার স্থানে ফেরত দেওয়া হয়েছে।",1
দীর্ঘ দিন পর স্টিফেন হকিং কীভাবে সতেজ হন?,0
আপনি কীভাবে হেলেন কেলারকে বিভ্রান্ত করবেন? তাকে একটি বাস্কেটবল দিন এবং এটি পড়তে বলুন।,1
প্রতিটি রাজ্যে কর সিস্টেম কতটা অন্যায্য তা দেখুন,0
চেসমাস্টারটি বিদেশী মহিলাদের কাছে কেন আগ্রহী ছিল? উত্তর: তিনি চেক মেট চাইতেছিলেন।,1
নতুন বছরে আপনার বাড়িকে আনন্দময় এবং আরামদায়ক করার ৭টি উপায়,0
হাতি এবং গন্ডারের বাচ্চাকে কি বলা হয়? হান্ডার...,1
পারালেল পার্কিং করার একটি ধাপের ধাপ গাইড! ১) অন্য কোথাও পার্ক করুন।,1
সিম্বার বাবা খুব ধীরে চলছিলেন তখন সিম্বা তার বাবাকে কি বলল? মুফাসা!,1
ডোনাল্ড ট্রাম্পের যুক্তরাজ্য সফর নিয়ে সংশয়,0
"ইসলামবিদ্বেষ নিয়ে ওবামার বক্তব্যের তীব্র নিন্দা করলেন মার্কো রুবিও
",0
গর্ভাবস্থায় মাছ খাওয়া: পারদের নিম্ন মাত্রা অটিজমের সাথে যুক্ত নয়,0
আমার রুটির কারখানা পুড়ে গেছে। এখন আমার ব্যবসা টোস্ট।,1
তেলাপোকার মতো জীবনসঙ্গী লাগবে জোতা মারলেও যাতে উরে এসে জরিয়ে ধরে,1
"ইস দেখেছো তোমার ভুঁড়ি কতটা বেড়ে গেছে ! কেন নিজে কি? তোমারও তো পেট বেড়েছে!কি যাতা বোকছো?                       
আমি তো মা হতে চলেছিতো কি হয়েছে? আমিও তো বাবা হোতে চলেছি",1
আমি জনৈক লোকাল বাসের হেল্পার আপনাকে বাসা থেকে নিয়ে যেতে এসেছি,1
"শিক্ষককে পিতার মতো -বলে সম্মানিত করা গর্বিত হাইকোর্ট
এদিকে ছাত্রীর সন্তানের পিতা হয়ে যাওয়া কোন এক শিক্ষক",1
কপিলা:আমারে বাতিঘর নিবা না মাঝি? মাঝি:বাড়িত যা কপিলা পিডিএফ পড়,1
"দোস্ত আজকে এক জায়গায় অনেকগুলো পুলিশের গাড়ি দেখছি ...দোস্ত :কোথায়?
থানার সামনে",1
বাবা : ভালো করে পড়াশোনা কর নাহলে একমুঠো ভাতও জুটবে না..আমি:-ভাত না থাকলে পোলাও খাবো,1
"গাড়িতে দুইটা কালা বেটা বইসা আছে ,গাড়ি কে চালায় ?পুলিশ",1
এবারের নির্বাচন আওয়ামী লীগী জিতবে,0
সারা রাত ধুমায় পড়ালেখা করে সকালে যখন পরীক্ষার পর ঘুম থেকে উঠি,0
"সকালবেলা দেরিতে ঘুম থেকে উঠেই ""জমিদার"" হবো",0
"বিশ্বাস তাে সে দিনই চলে গেছে,যেদিন দেখলাম,মশা মারার কয়েলের ওপর মশা বসে আছে।",1
"আসামের মানুষরা দোষ করুক বা না করুক তারা সবসময় আসামী।",1
"কোনক্রমে চ্যাম্পিয়নস ট্রফি নিশ্চিত করে দেশে ফেরা অস্ট্রেলিয়ার নির্লজ্জ ক্যাপ্টেন!
৬টা বিশ্বকাপ জিতে দেশে ফেরা ""বাংলাদেশের জান, বাংলাদেশের প্রাণ""!!",1
ক্যামেরা ম্যান ভুল করে ইউরোপ চলে গেলো নাকী??না ভায়া এটা আমাদের সিলেট.,0
আমার ৩০ মিনিটের ন্যাপগুলো কেন এমন ৩ ঘণ্টার ঘুম হয়?,0
